[header]
width=30
height=20
tilewidth=40
tileheight=40

[tilesets]
tileset=image/blocks/brick block.png,40,40,0,0       1
tileset=image/blocks/bush block.png,40,40,0,0        2
tileset=image/blocks/iron block.png,40,40,0,0        3
tileset=image/blocks/water block.png,40,40,0,0       4
tileset=image/blocks/flag.png,40,40,0,0                  5
enemy 6


[layer]
type=Слой тайлов 1
data=
4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
3,0,0,1,1,4,4,1,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0,1,0,4,4,4,4,4,
4,0,0,0,1,4,4,1,0,2,4,4,4,4,4,1,4,4,4,4,4,2,3,3,0,1,1,1,1,3,
3,0,0,2,1,4,4,1,0,2,4,0,0,0,0,0,0,0,0,0,4,2,0,1,0,3,3,3,3,4,
4,0,2,2,1,4,4,1,1,2,4,0,1,1,1,1,1,1,1,0,4,2,1,1,4,0,0,0,0,3,
3,0,1,1,1,4,4,4,1,2,4,0,1,0,2,2,2,0,1,0,4,2,1,0,4,0,3,0,1,4,
4,0,1,4,4,4,1,4,0,2,4,0,1,2,1,1,1,2,1,0,4,2,0,0,1,0,3,0,1,3,
3,0,4,4,1,4,4,4,0,2,3,0,1,2,1,0,1,2,1,0,3,3,3,3,2,2,2,0,1,4,
4,0,4,4,1,1,1,3,0,2,4,0,1,2,1,1,1,2,1,0,4,2,0,1,1,1,1,0,1,3,
3,1,2,3,0,1,2,3,0,2,4,0,1,0,2,2,2,0,1,0,4,2,0,0,3,0,0,0,0,4,
4,3,0,3,0,3,0,3,0,2,4,0,1,1,1,1,1,1,1,0,4,2,3,0,3,0,4,4,0,3,
3,3,0,1,2,3,0,1,0,2,4,0,0,0,0,0,0,0,0,0,4,2,3,0,3,0,4,4,1,4,
4,1,4,4,1,3,1,1,0,2,4,4,4,4,4,3,4,4,4,4,4,2,3,0,0,0,4,0,1,3,
3,0,1,1,1,4,0,1,2,1,0,1,0,3,1,1,3,0,1,0,1,0,2,1,2,2,4,0,1,4,
4,0,1,2,2,4,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,1,1,0,1,3,
3,0,1,2,3,4,0,1,0,4,4,4,2,4,4,4,4,1,4,4,4,4,0,1,1,1,2,0,0,4,
4,1,1,3,4,4,0,0,0,3,2,2,2,4,0,4,1,1,2,2,2,2,0,1,2,2,2,3,0,3,
3,1,1,3,3,3,1,0,0,3,4,2,3,4,4,4,3,1,4,4,4,3,0,0,0,3,3,3,0,4,
4,1,1,1,0,0,0,1,0,3,4,2,4,0,0,0,4,1,4,4,4,3,0,3,3,3,0,0,0,3,
3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4


